83, -57, 1009
-46, 82, 1160
-137, 39, 1307
-149, 20, 1296
-117, -40, 1112
-117, -40, 1112
-180, 69, 1178
-186, 96, 1007
-298, 3, 1082
-505, -96, 1313
-601, -229, 1368
-,-,-
304, -47, 1126
429, -7, 984
421, -36, 994
356, 50, 1201
396, 131, 1248
396, 131, 1248
507, 138, 1152
609, -34, 969
667, -319, 888
452, 181, 974
340, 343, 1160
490, -8, 872
490, -8, 872
500, -261, 845
378, -433, 905
121, -171, 982
-78, 215, 1002
-189, 193, 1160
-287, -113, 1419
-427, -169, 1443
-427, -169, 1443
-560, -28, 1315
-596, 46, 1135
-640, 87, 1097
-635, 32, 1091
-601, 19, 1066
-582, 30, 1010
-548, -7, 940
-531, 2, 997
-531, 2, 997
-,-,-
442, -59, 1011
442, -59, 1011
451, -27, 1080
446, -78, 1193
469, 75, 1186
593, -32, 949
648, -223, 847
648, -223, 847
626, -484, 755
333, 223, 860
237, 172, 987
312, -117, 904
241, -261, 931
26, -100, 1108
26, -100, 1108
-175, 87, 1189
-257, 54, 1204
-302, -144, 1196
-466, -238, 1263
-596, -130, 1269
-668, -94, 1225
-675, -69, 1176
-620, -19, 1137
-516, -17, 1122
-447, 32, 1150
-409, 54, 1211
-,-,-
338, -136, 1031
358, 58, 1096
454, 33, 1059
454, 33, 1059
513, -24, 1082
585, -112, 1075
703, -292, 824
563, 128, 798
334, 516, 1192
483, -41, 1103
483, -41, 1103
524, -226, 936
438, -419, 868
215, -351, 917
-41, 58, 1018
-159, 204, 1059
-117, 0, 1087
-117, 0, 1087
-173, -55, 1107
-278, -21, 1139
-365, 43, 1192
-419, 107, 1202
-365, 29, 1093
-392, -76, 1029
-434, -26, 1013
-503, -96, 1153
-588, -101, 1290
-585, -93, 1316
-514, -39, 1242
-,-,-
275, -142, 932
231, 10, 1098
296, 110, 1056
464, -7, 864
513, -72, 993
513, -72, 993
552, -130, 1178
610, 104, 1009
660, 218, 1004
704, -40, 1011
740, -222, 960
697, -329, 910
503, -219, 947
503, -219, 947
232, -5, 1148
20, 55, 1195
-80, -106, 1126
-252, -126, 1089
-485, 4, 1135
-672, -67, 1105
-863, -55, 1086
-863, -55, 1086
-936, -64, 1131
-950, -9, 1242
-,-,-
335, 54, 985
307, 140, 1138
461, 37, 996
484, -42, 924
445, -149, 977
445, -149, 977
363, -45, 1081
399, -13, 1048
487, -11, 973
583, -180, 879
551, -332, 910
420, -204, 963
